Switches:
Stage ID: 00
  01  from    STOLENSISTER  in sea/Stage (Event)
  24  from           TagEv  in Siren/Room16
  25  from         Hfbot1C  in Siren/Room10
  25  from           Hmos3  in Siren/Room10
  25  from           Hmos3  in Siren/Room10
  25  from          AttTag  in Siren/Room10
  25  from          AttTag  in Siren/Room10
  26  from           wiz_r  in Siren/Room8
  26  from          SW_C00  in Siren/Room10
  27  from           TagHt  in Siren/Room14
  27  from           TagHt  in Siren/Room14
  27  from           TagHt  in Siren/Room14
  27  from           TagHt  in Siren/Room14
  27  from           TagHt  in Siren/Room14
  27  from           TagHt  in Siren/Room14
  27  from           TagHt  in Siren/Room14
  28  from          AttTag  in Siren/Room7
  28  from          AttTag  in Siren/Room7
  28  from         kytag00  in Siren/Room7
  29  from          door10  in Siren/Stage
  29  from          AttTag  in Siren/Room7
  2A  from          door10  in Siren/Stage
  2A  from          AttTag  in Siren/Room7
  2D  from           TagEv  in Siren/Room18
  2E  from            Wall  in Siren/Room3
  2E  from          AttTag  in Siren/Room3
  2F  from            Wall  in Siren/Room3
  2F  from         c_kiiro  in Siren/Room3
  2F  from          AttTag  in Siren/Room3
  30  from            Wall  in Siren/Room3
  30  from          AttTag  in Siren/Room3
  32  from         Hfbot1C  in Siren/Room0
  32  from         AND_SW0  in Siren/Room0
  33  from         Hfbot1C  in Siren/Room0
  33  from         AND_SW0  in Siren/Room0
  37  from          tkrCTf  in Siren/Stage
  37  from            amos  in Siren/Room21
  37  from            amos  in Siren/Room21
  38  from            Wall  in Siren/Room0
  38  from          AttTag  in Siren/Room0
  39  from            Wall  in Siren/Room0
  39  from          AttTag  in Siren/Room0
  3A  from            Wall  in Siren/Room0
  3A  from          AttTag  in Siren/Room0
  3B  from             Kui  in Siren/Room20
  3C  from          door20  in Siren/Stage
  40  from          door20  in SirenB/Stage
  47  from          kotubo  in Siren/Room0
  63  from       moro_scam  in Siren/Stage (Event)
  74  from         takara6  in Siren/Stage
  80  from           amos2  in Siren/Room0
  80  from           amos2  in Siren/Room0
  80  from           amos2  in Siren/Room0
  80  from           amos2  in Siren/Room0
  80  from           amos2  in Siren/Room0
  80  from           amos2  in Siren/Room0
  80  from           amos2  in Siren/Room6
  80  from           amos2  in Siren/Room6
  80  from           amos2  in Siren/Room8
  80  from           amos2  in Siren/Room8
  80  from           amos2  in Siren/Room8
  80  from           amos2  in Siren/Room8
  80  from           amos2  in Siren/Room11
  80  from           amos2  in Siren/Room11
  80  from           amos2  in Siren/Room14
Room Siren/Room1
  E5  from          takara  in Siren/Stage
  E5  from           amos2  in Siren/Room1
  E5  from           amos2  in Siren/Room1
Room Siren/Room5
  E0  from         AND_SW0  in Siren/Room5
  E0  from         bonbori  in Siren/Room5
  E1  from         AND_SW0  in Siren/Room5
  E1  from         bonbori  in Siren/Room5
Room Siren/Room6
  E0  from         Hfbot1C  in Siren/Room6
  E0  from         AND_SW0  in Siren/Room6
  E1  from         Hfbot1C  in Siren/Room6
  E1  from         AND_SW0  in Siren/Room6
  E2  from         AND_SW0  in Siren/Room6
  E2  from         Hfbot1C  in Siren/Room6
Room Siren/Room15
  E0  from         Hfbot1B  in Siren/Room15
Room Siren/Room17
  E1  from         Hfbot1C  in Siren/Room17
  E1  from         AND_SW0  in Siren/Room17
  E2  from         Hfbot1C  in Siren/Room17
  E2  from         AND_SW0  in Siren/Room17
  E3  from         Hfbot1C  in Siren/Room17
  E3  from         AND_SW0  in Siren/Room17
Room SirenMB/Room23
  E0  from              Tn  in SirenMB/Room23
  E0  from           TagEv  in SirenMB/Room23
Stage ID: 06
  00  from          ZenS12  in M_Dai/Stage
  00  from         AND_SW2  in M_Dai/Room1
  00  from         TagMd12  in M_Dai/Room1
  01  from         Kbota_B  in M_Dai/Room1
  01  from         Kbota_B  in M_Dai/Room1
  01  from         AND_SW2  in M_Dai/Room1
  01  from          AttTag  in M_Dai/Room1
  02  from         Kbota_B  in M_Dai/Room1
  02  from         Kbota_B  in M_Dai/Room1
  02  from         AND_SW2  in M_Dai/Room1
  02  from          AttTag  in M_Dai/Room1
  03  from          ALLdie  in M_Dai/Room1
  03  from         TagMd11  in M_Dai/Room1
  04  from          MkieBA  in M_Dai/Room7
  05  from          MkieBA  in M_Dai/Room7
  06  from          MkieBA  in M_Dai/Room7
  07  from       pray_zola  in M_DaiB/Stage (Event)
  08  from          ZenS12  in M_Dai/Stage
  08  from          ZenS12  in M_Dai/Stage
  08  from          AttTag  in M_Dai/Room2
  09  from          tkrBMs  in M_Dai/Stage
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  09  from          LTagR0  in M_Dai/Room2
  0B  from            Evsw  in M_Dai/Room0
  0B  from         Kbota_B  in M_Dai/Room4
  0D  from           TagEv  in M_Dai/Room3
  0E  from          door12  in M_Dai/Stage
  0E  from         MhmrSW0  in M_Dai/Room3
  0E  from          AttTag  in M_Dai/Room3
  0F  from          keyS12  in M_Dai/Stage
  10  from           Msdan  in M_Dai/Room3
  10  from         ky_tag3  in M_Dai/Room3
  10  from         AND_SW2  in M_Dai/Room3
  10  from         TagMd15  in M_Dai/Room3
  10  from         TagMd15  in M_Dai/Room3
  11  from         AND_SW2  in M_Dai/Room3
  11  from          MsuSWB  in M_Dai/Room3
  11  from          MsuSWB  in M_Dai/Room3
  11  from         TagMd15  in M_Dai/Room3
  11  from         TagMd15  in M_Dai/Room3
  12  from         AND_SW2  in M_Dai/Room3
  12  from          MsuSWB  in M_Dai/Room3
  12  from          MsuSWB  in M_Dai/Room3
  12  from         TagMd15  in M_Dai/Room3
  12  from         TagMd15  in M_Dai/Room3
  13  from         AND_SW2  in M_Dai/Room3
  13  from         AND_SW2  in M_Dai/Room3
  13  from             Vds  in M_Dai/Room3
  14  from          door12  in M_Dai/Stage
  14  from            Evsw  in M_Dai/Room0
  14  from         Kbota_B  in M_Dai/Room4
  15  from           MpwrB  in M_Dai/Room4
  15  from         AND_SW2  in M_Dai/Room4
  15  from         AND_SW2  in M_Dai/Room4
  15  from           LTag1  in M_Dai/Room4
  15  from           LTag1  in M_Dai/Room4
  15  from          AttTag  in M_Dai/Room4
  15  from         TagMd13  in M_Dai/Room4
  16  from         takaraM  in M_Dai/Stage
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from          LTagR0  in M_Dai/Room4
  16  from         TagMd13  in M_Dai/Room4
  17  from         takaraM  in M_Dai/Stage
  17  from         Fmastr1  in M_Dai/Room4
  17  from         Fmastr1  in M_Dai/Room4
  18  from           MkieK  in M_Dai/Room18
  19  from           MkieK  in M_Dai/Room18
  1A  from         Kbota_B  in M_Dai/Room5
  1A  from         AND_SW0  in M_Dai/Room5
  1A  from         AND_SW2  in M_Dai/Room5
  1B  from         Kbota_B  in M_Dai/Room5
  1B  from         AND_SW0  in M_Dai/Room5
  1B  from         AND_SW2  in M_Dai/Room5
  1C  from         AND_SW2  in M_Dai/Room5
  1C  from         AND_SW2  in M_Dai/Room5
  1C  from         AND_SW2  in M_Dai/Room5
  1C  from           LTag1  in M_Dai/Room5
  1C  from           LTag1  in M_Dai/Room5
  1C  from          AttTag  in M_Dai/Room5
  1D  from          door12  in M_Dai/Stage
  1D  from           MpwrB  in M_Dai/Room5
  1E  from           Msdan  in M_Dai/Room5
  1E  from         AND_SW0  in M_Dai/Room5
  20  from         takara5  in M_Dai/Stage
  20  from          TagHt2  in M_Dai/Room6
  21  from         osiBLK0  in M_Dai/Room6
  21  from         Tenmado  in M_Dai/Room6
  21  from         AND_SW2  in M_Dai/Room6
  21  from         AND_SW2  in M_Dai/Room6
  22  from         Tenmado  in M_Dai/Room6
  22  from           LTag1  in M_Dai/Room6
  22  from           LTag1  in M_Dai/Room6
  23  from         takara5  in M_Dai/Stage
  23  from          MkieBB  in M_Dai/Room6
  23  from           DBLK0  in M_Dai/Room6
  23  from          BLK_CR  in M_Dai/Room6
  24  from           MkieK  in M_Dai/Room6
  25  from           MkieK  in M_Dai/Room6
  26  from         Warpts2  in M_Dai/Room6
  26  from           MkieK  in M_Dai/Room6
  27  from           MkieK  in M_Dai/Room6
  28  from          door12  in M_Dai/Stage
  28  from         osiBLK0  in M_Dai/Room6
  29  from          MkieBB  in M_Dai/Room6
  2A  from          TagHt2  in M_Dai/Room6
  2B  from            Evsw  in M_Dai/Room0
  2B  from           MkieK  in M_Dai/Room7
  2C  from            Evsw  in M_Dai/Room0
  2C  from           MkieK  in M_Dai/Room7
  2D  from           Msdan  in M_Dai/Room7
  2D  from           Msdan  in M_Dai/Room7
  2D  from          ALLdie  in M_Dai/Room7
  2F  from          keyS12  in M_Dai/Stage
  30  from          MkieBA  in M_Dai/Room7
  34  from          Mhsg4h  in M_Dai/Room8
  34  from         AND_SW2  in M_Dai/Room8
  34  from         AND_SW2  in M_Dai/Room8
  34  from          ALLdie  in M_Dai/Room8
  38  from           Msdan  in M_DaiMB/Room12
  38  from         AND_SW2  in M_DaiMB/Room12
  39  from         Tenmado  in M_DaiMB/Room12
  39  from           LTag1  in M_DaiMB/Room12
  39  from           LTag1  in M_DaiMB/Room12
  3A  from         takara3  in M_DaiMB/Stage
  3A  from         Tenmado  in M_DaiMB/Room12
  3A  from         AND_SW2  in M_DaiMB/Room12
  3A  from         AND_SW2  in M_DaiMB/Room12
  3A  from           LTag1  in M_DaiMB/Room12/Layer8
  3A  from           LTag1  in M_DaiMB/Room12/Layer8
  3B  from         AND_SW2  in M_DaiMB/Room12
  3B  from         AND_SW2  in M_DaiMB/Room12
  3B  from         AND_SW2  in M_DaiMB/Room12
  3B  from          SW_C00  in M_DaiMB/Room12
  3B  from          SW_C00  in M_DaiMB/Room12
  3B  from          SW_C00  in M_DaiMB/Room12
  3B  from           LTag1  in M_DaiMB/Room12/Layer8
  3B  from           LTag1  in M_DaiMB/Room12/Layer8
  3C  from            Stal  in M_DaiMB/Room12
  3C  from         AND_SW2  in M_DaiMB/Room12
  3C  from         MKanoke  in M_DaiMB/Room12/Layer8
  3D  from            Stal  in M_DaiMB/Room12
  3D  from         MKanoke  in M_DaiMB/Room12
  3D  from         AND_SW2  in M_DaiMB/Room12
  3E  from            Stal  in M_DaiMB/Room12
  3E  from         MKanoke  in M_DaiMB/Room12
  3E  from         AND_SW2  in M_DaiMB/Room12
  3F  from            Stal  in M_DaiMB/Room12
  3F  from         AND_SW2  in M_DaiMB/Room12
  3F  from         AND_SW2  in M_DaiMB/Room12
  3F  from         AND_SW2  in M_DaiMB/Room12
  3F  from         AND_SW2  in M_DaiMB/Room12
  40  from            Stal  in M_DaiMB/Room12
  40  from         AND_SW2  in M_DaiMB/Room12
  41  from            Stal  in M_DaiMB/Room12
  41  from         AND_SW2  in M_DaiMB/Room12
  42  from         AND_SW2  in M_DaiMB/Room12
  42  from         AND_SW2  in M_DaiMB/Room12
  43  from         ky_tag3  in M_Dai/Room7
  43  from          door12  in M_DaiMB/Stage
  43  from         ky_tag3  in M_DaiMB/Room12
  43  from           MsuSW  in M_DaiMB/Room12
  45  from           MknjD  in M_Dai/Room9
  48  from         MkieBAB  in M_Dai/Room10
  49  from         MkieBAB  in M_Dai/Room10
  4A  from          MkieBB  in M_Dai/Room10
  4B  from          keyS12  in M_Dai/Stage
  4F  from         takara2  in M_Dai/Stage
  4F  from         Fmastr2  in M_Dai/Room11
  4F  from         Fmastr2  in M_Dai/Room11
  4F  from         ky_tag3  in M_Dai/Room11
  52  from         MkieBAB  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  52  from         TagMd16  in M_Dai/Room13
  53  from         Tenmado  in M_Dai/Room13
  53  from           LTag1  in M_Dai/Room13
  53  from           LTag1  in M_Dai/Room13
  54  from         MhmrSW0  in M_Dai/Room13
  54  from         Tenmado  in M_Dai/Room13
  54  from         AND_SW2  in M_Dai/Room13
  54  from         AND_SW2  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  54  from         TagMd16  in M_Dai/Room13
  55  from            Mmrr  in M_Dai/Room13
  55  from          AttTag  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  55  from         TagMd16  in M_Dai/Room13
  59  from           MknjD  in M_Dai/Room14
  5B  from         Warpts3  in M_Dai/Room15
  5B  from         Ebrock2  in M_Dai/Room15
  5E  from         Tenmado  in M_Dai/Room16
  5E  from           LTag1  in M_Dai/Room16
  5E  from           LTag1  in M_Dai/Room16
  5F  from         Kbota_A  in M_Dai/Room16
  5F  from         Tenmado  in M_Dai/Room16
  5F  from         AND_SW2  in M_Dai/Room16
  5F  from         AND_SW2  in M_Dai/Room16
  60  from         AND_SW2  in M_Dai/Room16
  60  from          MsuSWB  in M_Dai/Room16
  60  from          MsuSWB  in M_Dai/Room16
  61  from         AND_SW2  in M_Dai/Room16
  61  from          MsuSWB  in M_Dai/Room16
  61  from          MsuSWB  in M_Dai/Room16
  62  from         ky_tag3  in M_Dai/Room16
  62  from         AND_SW2  in M_Dai/Room16
  62  from         AND_SW2  in M_Dai/Room16
  62  from         AND_SW2  in M_Dai/Room16
  63  from         MkieBAB  in M_Dai/Room16
  64  from         MkieBAB  in M_Dai/Room16
  65  from         takaraM  in M_Dai/Stage
  65  from          LTagR0  in M_Dai/Room16
  65  from          LTagR0  in M_Dai/Room16
  65  from          LTagR0  in M_Dai/Room16
  65  from          LTagR0  in M_Dai/Room16
  65  from         AND_SW2  in M_Dai/Room16
  66  from         takaraM  in M_Dai/Stage
  66  from          LTagR0  in M_Dai/Room16
  66  from          LTagR0  in M_Dai/Room16
  66  from          LTagR0  in M_Dai/Room16
  66  from          LTagR0  in M_Dai/Room16
  66  from         AND_SW2  in M_Dai/Room16
  67  from           MkieK  in M_Dai/Room16
  68  from           MkieK  in M_Dai/Room16
  69  from           MkieK  in M_Dai/Room16
  6A  from           MkieK  in M_Dai/Room16
  6B  from           MkieK  in M_Dai/Room16
  6C  from           MkieK  in M_Dai/Room16
  6D  from           MkieK  in M_Dai/Room16
  6E  from           MkieK  in M_Dai/Room16
  6F  from            Evsw  in M_Dai/Room0
  6F  from           MkieK  in M_Dai/Room16
  6F  from          SW_C00  in M_Dai/Room17
  70  from         AND_SW2  in M_Dai/Room16
  70  from            Mmrr  in M_Dai/Room16
  71  from         AND_SW2  in M_Dai/Room16
  71  from            Mmrr  in M_Dai/Room16
  72  from         AND_SW2  in M_Dai/Room16
  72  from            Mmrr  in M_Dai/Room16
  73  from         AND_SW2  in M_Dai/Room16
  73  from            Mmrr  in M_Dai/Room16
  74  from         AND_SW2  in M_Dai/Room16
  74  from            Mmrr  in M_Dai/Room16
  75  from         AND_SW2  in M_Dai/Room16
  75  from            Mmrr  in M_Dai/Room16
  76  from         AND_SW2  in M_Dai/Room16
  76  from         AND_SW2  in M_Dai/Room16
  76  from             Vds  in M_Dai/Room16
  76  from           LTag1  in M_Dai/Room16
  76  from           LTag1  in M_Dai/Room16
  77  from         AND_SW2  in M_Dai/Room16
  78  from         AND_SW2  in M_Dai/Room16
  7B  from         osiBLK0  in M_Dai/Room19
  7C  from         takara6  in M_Dai/Stage
  7E  from          ZenS12  in M_Dai/Stage
  7F  from          door12  in M_Dai/Stage
  84  from          MkieBA  in M_Dai/Room2
  85  from          MkieBA  in M_Dai/Room2
  88  from         MKanok2  in M_Dai/Room8
  88  from          Rdead1  in M_Dai/Room8
  89  from         MKanok2  in M_Dai/Room8
  8A  from         MKanok2  in M_Dai/Room8
  8A  from          Rdead1  in M_Dai/Room8
  8B  from         MKanok2  in M_Dai/Room8
  8B  from          Rdead1  in M_Dai/Room8
  8C  from         MKanok2  in M_Dai/Room8
  91  from         MkieBAB  in M_Dai/Room13
  92  from         MkieBAB  in M_Dai/Room13
  93  from         MKanok2  in M_Dai/Room19
  93  from            Stal  in M_Dai/Room19
  94  from         MKanok2  in M_Dai/Room19
  94  from            Stal  in M_Dai/Room19
  95  from         MKanok2  in M_Dai/Room19
  95  from            Stal  in M_Dai/Room19
  96  from              Tn  in M_Dai/Room17
  97  from            Stal  in M_Dai/Room19
  98  from            Stal  in M_Dai/Room19
  99  from            Stal  in M_Dai/Room19
  C0  from         MKanoke  in M_Dai/Room4
  C0  from           bable  in M_Dai/Room4
  C1  from         MKanoke  in M_Dai/Room4
  C1  from           bable  in M_Dai/Room4
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room0
  CB  from          SW_C00  in M_Dai/Room1
Room M_Dai/Room5
  E0  from         AND_SW2  in M_Dai/Room5
  E0  from         c_black  in M_Dai/Room5
  E0  from         c_black  in M_Dai/Room5
  E0  from         c_black  in M_Dai/Room5
Room M_Dai/Room14
  E0  from         MKanok2  in M_Dai/Room14
  E0  from          Rdead1  in M_Dai/Room14
  E1  from         MKanok2  in M_Dai/Room14
  E2  from         MKanok2  in M_Dai/Room14
  E3  from         MKanok2  in M_Dai/Room14
  E4  from         MKanok2  in M_Dai/Room14
  E4  from          Rdead1  in M_Dai/Room14
  E5  from         MKanok2  in M_Dai/Room14
  E6  from         MKanok2  in M_Dai/Room14
  E7  from         MKanok2  in M_Dai/Room14
  E8  from         MKanok2  in M_Dai/Room14
  E9  from         MKanok2  in M_Dai/Room14
  EA  from         MKanok2  in M_Dai/Room14
  EA  from            Stal  in M_Dai/Room14
  EB  from         MKanok2  in M_Dai/Room14
  EC  from         MKanok2  in M_Dai/Room14
  ED  from         MKanok2  in M_Dai/Room14
Room M_Dai/Room17
  E0  from           Akabe  in M_Dai/Room17
Stage ID: 07
  00  from          tkrASw  in kaze/Stage
  00  from         AND_SW2  in kaze/Room0
  00  from          AttTag  in kaze/Room0
  00  from          AttTag  in kaze/Room0
  00  from            Evsw  in kaze/Room15
  01  from           VmcBS  in kaze/Room0
  01  from         AND_SW2  in kaze/Room0
  01  from            Evsw  in kaze/Room15
  02  from           VmcBS  in kaze/Room0
  02  from         AND_SW2  in kaze/Room0
  02  from            Evsw  in kaze/Room15
  03  from         Kbota_A  in kaze/Room0
  03  from         AND_SW2  in kaze/Room0
  03  from         AND_SW2  in kaze/Room0
  03  from         AND_SW2  in kaze/Room0
  03  from          SW_C00  in kaze/Room1
  04  from         AND_SW2  in kaze/Room0
  04  from         WindTag  in kaze/Room0
  04  from         WindTag  in kaze/Room0
  04  from          SW_C00  in kaze/Room1
  06  from           VmcBS  in kaze/Room1
  06  from         AND_SW2  in kaze/Room1
  06  from            Evsw  in kaze/Room15
  07  from           VmcBS  in kaze/Room1
  07  from         AND_SW2  in kaze/Room1
  07  from            Evsw  in kaze/Room15
  08  from          door12  in kaze/Stage
  08  from         AND_SW2  in kaze/Room1
  08  from         TagCb11  in kaze/Room1
  09  from         Hhbot1N  in kaze/Room2
  09  from         AND_SW2  in kaze/Room2
  0A  from           VmcBS  in kaze/Room2
  0A  from         AND_SW2  in kaze/Room2
  0A  from            Evsw  in kaze/Room15
  0B  from           VmcBS  in kaze/Room2
  0B  from         AND_SW2  in kaze/Room2
  0B  from            Evsw  in kaze/Room15
  0C  from         AND_SW2  in kaze/Room2
  0D  from         Kbota_B  in kaze/Room2
  0D  from         Kbota_B  in kaze/Room2
  0D  from         AND_SW2  in kaze/Room2
  0E  from         Kbota_B  in kaze/Room2
  0E  from         Kbota_B  in kaze/Room2
  0E  from         AND_SW2  in kaze/Room2
  0F  from         AND_SW2  in kaze/Room2
  10  from         AND_SW2  in kaze/Room2
  10  from         AND_SW2  in kaze/Room2
  11  from         AND_SW2  in kaze/Room2
  11  from         Ybgaf00  in kaze/Room2
  13  from          keyS12  in kaze/Stage
  17  from          Homen1  in kaze/Room2
  17  from         TagCb14  in kaze/Room2
  19  from         Kbota_A  in kaze/Room7
  19  from           wiz_r  in kaze/Room7
  19  from           wiz_r  in kaze/Room7
  19  from         AttTagB  in kaze/Room7
  1B  from          keyS12  in kaze/Stage
  1E  from           MknjD  in kaze/Room5
  1F  from         takara6  in kaze/Stage
  20  from         AND_SW2  in kaze/Room3
  20  from         Fmastr2  in kaze/Room3
  20  from         Fmastr2  in kaze/Room3
  20  from         Fmastr2  in kaze/Room3
  20  from         Fmastr2  in kaze/Room3
  21  from          door12  in kaze/Stage
  21  from          door12  in kaze/Stage
  21  from           VmcBS  in kaze/Room3
  21  from         AND_SW2  in kaze/Room3
  21  from         TagCb13  in kaze/Room3
  21  from         AttTagB  in kaze/Room3
  21  from            Evsw  in kaze/Room15
  22  from           VmcBS  in kaze/Room3
  22  from         TagCb13  in kaze/Room3
  22  from            Evsw  in kaze/Room15
  23  from           VmcBS  in kaze/Room3
  23  from         TagCb13  in kaze/Room3
  23  from            Evsw  in kaze/Room15
  25  from            Evsw  in kaze/Room15
  25  from           VmcBS  in kaze/Room16
  26  from            Evsw  in kaze/Room15
  26  from           VmcBS  in kaze/Room16
  27  from            Evsw  in kaze/Room15
  27  from           VmcBS  in kaze/Room16
  28  from            Evsw  in kaze/Room15
  28  from           VmcBS  in kaze/Room16
  2B  from         takara2  in kaze/Stage
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  2B  from          Htoge1  in kaze/Room9
  31  from         takara5  in kaze/Stage
  31  from         AND_SW2  in kaze/Room9
  32  from         Hhbot1N  in kaze/Room10
  32  from         AND_SW2  in kaze/Room10
  33  from         takara7  in kaze/Stage
  34  from          door12  in kaze/Stage
  34  from         AND_SW2  in kaze/Room10
  36  from           VmcBS  in kaze/Room11
  36  from         AND_SW2  in kaze/Room11
  36  from         AND_SW2  in kaze/Room11
  36  from         AND_SW2  in kaze/Room11
  36  from            Evsw  in kaze/Room15
  37  from         AND_SW2  in kaze/Room11
  38  from           MknjD  in kaze/Room12
  3B  from           wiz_r  in kaze/Room3
  3B  from         Fmastr2  in kaze/Room3
  3B  from         Fmastr2  in kaze/Room3
  3B  from         Fmastr2  in kaze/Room3
  3B  from         Fmastr2  in kaze/Room3
  3B  from         takara8  in kazeMB/Stage
  3B  from           wiz_r  in kazeMB/Room6
  3B  from           wiz_r  in kazeMB/Room6
  3E  from          door12  in kazeMB/Stage
  3E  from         MhmrSW0  in kazeMB/Room6
  3F  from          door12  in kaze/Stage
  80  from            amos  in kaze/Room2
  80  from            amos  in kaze/Room2
  82  from          ZenS12  in kaze/Stage
  82  from           amos2  in kaze/Room4
  82  from           amos2  in kaze/Room4
  82  from           amos2  in kaze/Room4
  82  from           amos2  in kaze/Room4
  82  from           amos2  in kaze/Room4
  82  from           amos2  in kaze/Room4
  82  from           amos2  in kaze/Room4
  82  from          Htobi3  in kaze/Room4
  83  from           Hhyu1  in kaze/Room1
  84  from           Hhyu1  in kaze/Room5
  85  from          ZenS12  in kaze/Stage
  85  from          Htobi3  in kaze/Room8
  86  from              Tn  in kaze/Room8
  87  from              Tn  in kaze/Room8
  88  from              Tn  in kaze/Room8
  89  from            Stal  in kaze/Room0
  8B  from          Homen2  in kaze/Room1
  8C  from          Homen2  in kaze/Room1
  8D  from          Homen2  in kaze/Room2
  8E  from          Homen2  in kaze/Room2
  8F  from          Homen2  in kaze/Room2
  90  from          Homen2  in kaze/Room2
  91  from          Homen2  in kaze/Room2
  92  from          Homen2  in kaze/Room2
  93  from          Homen2  in kaze/Room2
  94  from          Homen2  in kaze/Room2
  95  from          Homen2  in kaze/Room2
  96  from          Homen2  in kaze/Room2
  97  from          Homen2  in kaze/Room7
  98  from          Homen2  in kaze/Room10
  99  from          Homen2  in kaze/Room10
  9A  from          Homen2  in kaze/Room10
  9B  from          Homen2  in kaze/Room10
  C0  from           Hhyu1  in kaze/Room9
  C0  from         AND_SW2  in kaze/Room9
  C0  from         c_green  in kaze/Room9
  C0  from         c_green  in kaze/Room9
  C0  from         c_green  in kaze/Room9
  C0  from         c_green  in kaze/Room9
  C0  from         c_green  in kaze/Room9
  C1  from           Hhyu1  in kaze/Room9
  C1  from         AND_SW2  in kaze/Room9
  C1  from           amos2  in kaze/Room9
  C1  from           amos2  in kaze/Room9
  C1  from           amos2  in kaze/Room9
  C2  from           Hhyu1  in kaze/Room9
  C2  from         AND_SW2  in kaze/Room9
  C2  from         Fmastr2  in kaze/Room9
  C2  from         Fmastr2  in kaze/Room9
  C3  from           Hhyu1  in kaze/Room9
  C3  from         AND_SW2  in kaze/Room9
  C4  from           Hhyu1  in kaze/Room9
  C4  from         AND_SW2  in kaze/Room9
  C4  from           c_red  in kaze/Room9
  C4  from           c_red  in kaze/Room9
  C4  from           c_red  in kaze/Room9
  C4  from           c_red  in kaze/Room9
  C4  from           c_red  in kaze/Room9
  CB  from          SW_C00  in kaze/Room0
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
  CB  from          SW_C00  in kaze/Room15
Room kaze/Room0
  E0  from           wiz_r  in kaze/Room0
  E0  from          SW_C00  in kaze/Room0
Room kaze/Room1
  E0  from         Kbota_A  in kaze/Room1
  E0  from          KbotaC  in kaze/Room1
Room kaze/Room2
  E0  from         Kbota_B  in kaze/Room2
Stage ID: 08
  00  from          Fganon  in GanonC/Room1
  00  from          Fganon  in GanonC/Room1
  00  from          Fganon  in GanonC/Room2
  00  from          Fganon  in GanonC/Room2
  00  from          Fganon  in GanonC/Room3
  00  from          Fganon  in GanonC/Room3
  00  from          Fganon  in GanonC/Room4
  00  from          Fganon  in GanonC/Room4
  00  from          Fganon  in GanonC/Room5
