 kusax1:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
  Adnno:   ID 011C,   Subtype FF,   GBAName 00,   REL d_a_obj_adnno
Ycage00:   ID 011F,   Subtype FF,   GBAName 00,   REL d_a_obj_barrier
Yswdr00:   ID 0120,   Subtype FF,   GBAName 00,   REL d_a_obj_firewall
 TnTrap:   ID 0121,   Subtype FF,   GBAName 00,   REL d_a_obj_tntrap
 FgTrap:   ID 0121,   Subtype FF,   GBAName 00,   REL d_a_obj_tntrap
 CmTrap:   ID 0121,   Subtype FF,   GBAName 00,   REL d_a_obj_tntrap
 Hjump2:   ID 00A8,   Subtype FF,   GBAName 3D,   REL d_a_obj_jump
  Esekh:   ID 0122,   Subtype 00,   GBAName 37,   REL d_a_obj_monument
 Esekh2:   ID 0122,   Subtype 01,   GBAName 37,   REL d_a_obj_monument
     Po:   ID 0179,   Subtype FF,   GBAName 3B,   REL d_a_npc_photo
  TagPo:   ID 01A3,   Subtype FF,   GBAName 00,   REL d_a_tag_photo
 Htoge1:   ID 007C,   Subtype FF,   GBAName 32,   REL d_a_toge
Skanran:   ID 007D,   Subtype FF,   GBAName 00,   REL d_a_obj_ferris
   Ajav:   ID 0088,   Subtype FF,   GBAName 00,   REL d_a_obj_ajav
   Trap:   ID 0089,   Subtype FF,   GBAName 33,   REL d_a_obj_trap
    Hha:   ID 008A,   Subtype FF,   GBAName 00,   REL d_a_obj_hha
 Htetu1:   ID 008B,   Subtype FF,   GBAName 00,   REL d_a_obj_htetu1
  Tpota:   ID 018D,   Subtype FF,   GBAName 00,   REL d_a_tpota
Stoudai:   ID 0082,   Subtype FF,   GBAName 00,   REL d_a_obj_light
   Pbco:   ID 0026,   Subtype FF,   GBAName 00,   REL d_a_obj_pbco
 Ebomzo:   ID 00A4,   Subtype FF,   GBAName 00,   REL d_a_obj_ebomzo
  Psail:   ID 00AD,   Subtype 00,   GBAName 00,   REL d_a_sail
 Homen1:   ID 0083,   Subtype 00,   GBAName 00,   REL d_a_obj_homen
 Homen2:   ID 0083,   Subtype 01,   GBAName 00,   REL d_a_obj_homen
  Xfuta:   ID 007E,   Subtype 01,   GBAName 00,   REL d_a_obj_xfuta
  Vochi:   ID 0092,   Subtype 00,   GBAName 00,   REL d_a_obj_leaves
 Hfuck1:   ID 0096,   Subtype 00,   GBAName 00,   REL d_a_obj_hfuck1
  YLzou:   ID 0093,   Subtype 00,   GBAName 00,   REL d_a_obj_YLzou
   Gbed:   ID 0094,   Subtype 00,   GBAName 00,   REL d_a_obj_ganonbed
  Vteng:   ID 0095,   Subtype 00,   GBAName 00,   REL d_a_obj_Vteng
 Ohatch:   ID 0097,   Subtype FF,   GBAName 00,   REL d_a_obj_ohatch
 Rcloud:   ID 008F,   Subtype 00,   GBAName 00,   REL d_a_obj_rcloud
 Ocloud:   ID 008F,   Subtype 01,   GBAName 00,   REL d_a_obj_rcloud
   MPot:   ID 01D3,   Subtype 00,   GBAName 00,   REL d_a_obj_mshokki
 MOsara:   ID 01D3,   Subtype 01,   GBAName 00,   REL d_a_obj_mshokki
 MKoppu:   ID 01D3,   Subtype 02,   GBAName 00,   REL d_a_obj_mshokki
   Ptco:   ID 009A,   Subtype 00,   GBAName 00,   REL d_a_obj_bscurtain
   Ptcu:   ID 009A,   Subtype 01,   GBAName 00,   REL d_a_obj_bscurtain
   Kmon:   ID 0196,   Subtype 00,   GBAName 00,   REL d_a_kmon
 Sarace:   ID 0146,   Subtype 00,   GBAName 00,   REL d_a_npc_sarace
    Hsh:   ID 0124,   Subtype 00,   GBAName 36,   REL d_a_obj_hsehi1
   Hsh2:   ID 0124,   Subtype 01,   GBAName 36,   REL d_a_obj_hsehi1
 Mmusic:   ID 018B,   Subtype FF,   GBAName 00,   REL d_a_mmusic
 Gryw00:   ID 0090,   Subtype FF,   GBAName 00,   REL d_a_obj_gryw00
  AjavW:   ID 0091,   Subtype 00,   GBAName 00,   REL d_a_obj_AjavW
Omensmk:   ID 0084,   Subtype FF,   GBAName 00,   REL d_a_obj_homensmoke
  Itnak:   ID 018E,   Subtype FF,   GBAName 00,   REL d_a_obj_Itnak
Yfrlt00:   ID 018C,   Subtype FF,   GBAName 00,   REL d_a_komore
  FTree:   ID 0085,   Subtype FF,   GBAName 00,   REL d_a_obj_ftree
  Vyasi:   ID 0087,   Subtype FF,   GBAName 00,   REL d_a_obj_vyasi
    Vds:   ID 0086,   Subtype FF,   GBAName 00,   REL d_a_obj_Vds
 Rforce:   ID 0080,   Subtype FF,   GBAName 00,   REL d_a_obj_rforce
   zouK:   ID 018F,   Subtype 00,   GBAName 00,   REL d_a_obj_zouK
  zouK1:   ID 018F,   Subtype 01,   GBAName 00,   REL d_a_obj_zouK
  zouK2:   ID 018F,   Subtype 02,   GBAName 00,   REL d_a_obj_zouK
  zouK3:   ID 018F,   Subtype 03,   GBAName 00,   REL d_a_obj_zouK
  zouK4:   ID 018F,   Subtype 04,   GBAName 00,   REL d_a_obj_zouK
Gaship1:   ID 007F,   Subtype FF,   GBAName 00,   REL d_a_obj_gaship
Gaship2:   ID 0081,   Subtype FF,   GBAName 00,   REL d_a_obj_gaship2
  Ghrwp:   ID 006D,   Subtype FF,   GBAName 00,   REL d_a_warphr
Gdemo20:   ID 006E,   Subtype FF,   GBAName 00,   REL d_a_warpdm20
 Warpgn:   ID 006F,   Subtype FF,   GBAName 00,   REL d_a_warpgn
 Warpmj:   ID 0070,   Subtype FF,   GBAName 00,   REL d_a_warpmj
 Warpfo:   ID 006B,   Subtype FF,   GBAName 00,   REL d_a_warpfout
Ygush00:   ID 0099,   Subtype FF,   GBAName 00,   REL d_a_obj_Ygush00
Ygush01:   ID 0099,   Subtype FF,   GBAName 00,   REL d_a_obj_Ygush00
Ygstp00:   ID 0099,   Subtype FF,   GBAName 00,   REL d_a_obj_Ygush00
Ygush02:   ID 0099,   Subtype FF,   GBAName 00,   REL d_a_obj_Ygush00
   Hcbh:   ID 0098,   Subtype 00,   GBAName 00,   REL d_a_obj_hcbh
  Com_B:   ID 0110,   Subtype FF,   GBAName 00,   REL d_a_coming2
  Com_C:   ID 0111,   Subtype FF,   GBAName 00,   REL d_a_coming3
 SPitem:   ID 0107,   Subtype FF,   GBAName 00,   REL [none]
HyoiKam:   ID 00C4,   Subtype FF,   GBAName 00,   REL d_a_npc_kamome
Shmrgrd:   ID 009B,   Subtype FF,   GBAName 00,   REL d_a_obj_shmrgrd
  Vtil1:   ID 01D1,   Subtype 00,   GBAName 00,   REL d_a_obj_vtil
  Vtil2:   ID 01D1,   Subtype 01,   GBAName 00,   REL d_a_obj_vtil
  Vtil3:   ID 01D1,   Subtype 02,   GBAName 00,   REL d_a_obj_vtil
  Vtil4:   ID 01D1,   Subtype 03,   GBAName 00,   REL d_a_obj_vtil
  Vtil5:   ID 01D1,   Subtype 04,   GBAName 00,   REL d_a_obj_vtil
 Eayogn:   ID 009C,   Subtype FF,   GBAName 00,   REL d_a_obj_eayogn
  VmsMS:   ID 009D,   Subtype FF,   GBAName 00,   REL d_a_obj_vmsms
  VmsDZ:   ID 009E,   Subtype FF,   GBAName 00,   REL d_a_obj_vmsdz
  VgnFD:   ID 00A0,   Subtype FF,   GBAName 00,   REL d_a_obj_vgnfd
  Ygcwp:   ID 009F,   Subtype FF,   GBAName 00,   REL d_a_ygcwp
 Figure:   ID 0197,   Subtype FF,   GBAName 00,   REL d_a_obj_figure
  RoHat:   ID 0198,   Subtype FF,   GBAName 00,   REL d_a_obj_hat
Gntakis:   ID 008C,   Subtype FF,   GBAName 00,   REL d_a_obj_gnndemotakis
Gntakie:   ID 008D,   Subtype FF,   GBAName 00,   REL d_a_obj_gnndemotakie
Gnbtaki:   ID 008E,   Subtype FF,   GBAName 00,   REL d_a_obj_gnnbtltaki
    Bkm:   ID 00EC,   Subtype FF,   GBAName 00,   REL d_a_bmd
    Bst:   ID 00F2,   Subtype FF,   GBAName 00,   REL d_a_bst
  Bitem:   ID 0102,   Subtype FF,   GBAName 00,   REL d_a_boss_item
 Fganon:   ID 00F3,   Subtype FF,   GBAName 00,   REL d_a_fganon
    Bwd:   ID 00DA,   Subtype FF,   GBAName 00,   REL d_a_bwd
   Bwds:   ID 00DB,   Subtype FF,   GBAName 00,   REL d_a_bwds
    Bgn:   ID 00F5,   Subtype FF,   GBAName 00,   REL d_a_bgn
    Gnd:   ID 00F8,   Subtype FF,   GBAName 00,   REL d_a_gnd
   Puti:   ID 00F9,   Subtype FF,   GBAName 00,   REL d_a_pt
 d_act0:   ID 0199,   Subtype 00,   GBAName 00,   REL [none]
 d_act1:   ID 0199,   Subtype 01,   GBAName 00,   REL [none]
 d_act2:   ID 0199,   Subtype 02,   GBAName 00,   REL [none]
 d_act3:   ID 0199,   Subtype 03,   GBAName 00,   REL [none]
 d_act4:   ID 0199,   Subtype 04,   GBAName 00,   REL [none]
 d_act5:   ID 0199,   Subtype 05,   GBAName 00,   REL [none]
 d_act6:   ID 0199,   Subtype 06,   GBAName 00,   REL [none]
 d_act7:   ID 0199,   Subtype 07,   GBAName 00,   REL [none]
 d_act8:   ID 0199,   Subtype 08,   GBAName 00,   REL [none]
 d_act9:   ID 0199,   Subtype 09,   GBAName 00,   REL [none]
d_act10:   ID 0199,   Subtype 0A,   GBAName 00,   REL [none]
d_act11:   ID 0199,   Subtype 0B,   GBAName 00,   REL [none]
d_act12:   ID 0199,   Subtype 0C,   GBAName 00,   REL [none]
d_act13:   ID 0199,   Subtype 0D,   GBAName 00,   REL [none]
d_act14:   ID 0199,   Subtype 0E,   GBAName 00,   REL [none]
d_act15:   ID 0199,   Subtype 0F,   GBAName 00,   REL [none]
d_act16:   ID 0199,   Subtype 10,   GBAName 00,   REL [none]
d_act17:   ID 0199,   Subtype 11,   GBAName 00,   REL [none]
d_act18:   ID 0199,   Subtype 12,   GBAName 00,   REL [none]
d_act19:   ID 0199,   Subtype 13,   GBAName 00,   REL [none]
d_act20:   ID 0199,   Subtype 14,   GBAName 00,   REL [none]
d_act21:   ID 0199,   Subtype 15,   GBAName 00,   REL [none]
d_act22:   ID 0199,   Subtype 16,   GBAName 00,   REL [none]
d_act23:   ID 0199,   Subtype 17,   GBAName 00,   REL [none]
d_act24:   ID 0199,   Subtype 18,   GBAName 00,   REL [none]
d_act25:   ID 0199,   Subtype 19,   GBAName 00,   REL [none]
d_act26:   ID 0199,   Subtype 1A,   GBAName 00,   REL [none]
d_act27:   ID 0199,   Subtype 1B,   GBAName 00,   REL [none]
d_act28:   ID 0199,   Subtype 1C,   GBAName 00,   REL [none]
d_act29:   ID 0199,   Subtype 1D,   GBAName 00,   REL [none]
d_act30:   ID 0199,   Subtype 1E,   GBAName 00,   REL [none]
d_act31:   ID 0199,   Subtype 1F,   GBAName 00,   REL [none]
   SYAN:   ID 00B2,   Subtype FF,   GBAName 00,   REL d_a_syan
  TagD1:   ID 019B,   Subtype 00,   GBAName 00,   REL d_a_dummy
  TagD2:   ID 019B,   Subtype 01,   GBAName 00,   REL d_a_dummy
  TagD3:   ID 019B,   Subtype 02,   GBAName 00,   REL d_a_dummy
  TagD4:   ID 019B,   Subtype 03,   GBAName 00,   REL d_a_dummy
     mp:   ID 01C2,   Subtype FF,   GBAName 00,   REL d_a_movie_player
  STBox:   ID 0195,   Subtype FF,   GBAName 00,   REL d_a_salvage_tbox
 Fobj00:   ID 01D4,   Subtype FF,   GBAName 00,   REL [none]
   Tama:   ID 01D6,   Subtype FF,   GBAName 00,   REL d_a_tama
    Agb:   ID 01B5,   Subtype FF,   GBAName 00,   REL [none]
     Bg:   ID 01BC,   Subtype FF,   GBAName 00,   REL [none]
  Himo2:   ID 01C4,   Subtype FF,   GBAName 00,   REL [none]
    Esa:   ID 00DE,   Subtype FF,   GBAName 00,   REL [none]
   Boko:   ID 01D5,   Subtype FF,   GBAName 00,   REL d_a_boko
Kantera:   ID 00C2,   Subtype FF,   GBAName 00,   REL d_a_kantera
  HShot:   ID 00AA,   Subtype FF,   GBAName 00,   REL [none]
   Boom:   ID 01B4,   Subtype FF,   GBAName 00,   REL [none]
   Bomb:   ID 0128,   Subtype FF,   GBAName 00,   REL [none]
  Bomb2:   ID 0129,   Subtype FF,   GBAName 00,   REL [none]
   Boko:   ID 01D5,   Subtype FF,   GBAName 00,   REL d_a_boko
  Arrow:   ID 01DE,   Subtype FF,   GBAName 00,   REL [none]
Arrow_i:   ID 01DF,   Subtype FF,   GBAName 00,   REL d_a_arrow_iceeff
Arrow_l:   ID 01E0,   Subtype FF,   GBAName 00,   REL d_a_arrow_lighteff
   Grid:   ID 00AC,   Subtype FF,   GBAName 00,   REL [none]
   Kaji:   ID 003E,   Subtype FF,   GBAName 00,   REL d_a_kaji
 HFloor:   ID 00E8,   Subtype FF,   GBAName 00,   REL d_a_hot_floor
  Buoyr:   ID 010E,   Subtype FF,   GBAName 00,   REL d_a_obj_buoyrace
  Ritem:   ID 0104,   Subtype FF,   GBAName 00,   REL d_a_race_item
  Sitem:   ID 0105,   Subtype FF,   GBAName 00,   REL d_a_shop_item
  Ditem:   ID 0103,   Subtype FF,   GBAName 00,   REL d_a_demo_item
  Iball:   ID 0192,   Subtype FF,   GBAName 00,   REL [none]
  Grass:   ID 01B8,   Subtype FF,   GBAName 00,   REL d_a_grass
  Vrbox:   ID 01BA,   Subtype FF,   GBAName 00,   REL [none]
 Vrbox2:   ID 01BB,   Subtype FF,   GBAName 00,   REL [none]
EndCode:   ID 0007,   Subtype FF,   GBAName 00,   REL [none]
 [none]:   ID 0065,   Subtype [],   GBAName [],   REL d_a_shand
 [none]:   ID 00AE,   Subtype [],   GBAName [],   REL d_a_pirate_flag
 [none]:   ID 00B8,   Subtype [],   GBAName [],   REL d_a_hitobj
 [none]:   ID 00C1,   Subtype [],   GBAName [],   REL d_a_mant
 [none]:   ID 00DC,   Subtype [],   GBAName [],   REL d_a_bwdg
 [none]:   ID 00ED,   Subtype [],   GBAName [],   REL d_a_bmdhand
 [none]:   ID 00EE,   Subtype [],   GBAName [],   REL d_a_bmdfoot
 [none]:   ID 00F4,   Subtype [],   GBAName [],   REL d_a_fgmahou
 [none]:   ID 00F6,   Subtype [],   GBAName [],   REL d_a_bgn2
 [none]:   ID 00F7,   Subtype [],   GBAName [],   REL d_a_bgn3
 [none]:   ID 0112,   Subtype [],   GBAName [],   REL d_a_obj_mmrr
 [none]:   ID 01C1,   Subtype [],   GBAName [],   REL d_a_title
 [none]:   ID 01C6,   Subtype [],   GBAName [],   REL d_a_att
 [none]:   ID 01D7,   Subtype [],   GBAName [],   REL d_a_obj_buoyflag
 [none]:   ID 01D9,   Subtype [],   GBAName [],   REL d_a_obj_eff
